Ticker,Revenue_per_Share,Z_score
NVR,3111.1067968767843,14.137168573715586
MCK,2382.4656646899602,10.72908909170039
COR,1337.5648493939023,5.841765453157327
AZO,1093.8203888951332,4.7016973757656615
CAH,937.2629230197099,3.969429783892301
HUM,883.4242718688492,3.7176097942961386
ELV,738.8975617329205,3.041613760502202
CI,701.7253296344193,2.867747757171599
BKNG,645.5326361842722,2.6049171851287447
MOH,595.6643356643357,2.371667750945846
COST,574.290094179847,2.271693826020281
VLO,457.2737295140005,1.724372169499487
MPC,443.34058395381913,1.6592025470255667
BG,426.4217994272283,1.5800681695403738
UNH,398.01369084013857,1.4471946770599957
CHTR,384.0262735941939,1.3817712091599337
FDX,358.92239833589474,1.2643526358629464
PSX,356.9078180175805,1.254929821881649
GWW,338.3558999757701,1.1681567748529091
EG,336.3488372093023,1.1587691227820105
BRK-B,331.5275505365715,1.1362184768461532
CNC,305.030062373586,1.0122815458329628
HII,292.72182226617906,0.9547121077148101
LMT,287.49334226839943,0.9302568929109458
CVS,284.4051502400954,0.9158124655745443
ORLY,273.38434859584123,0.8642647745370974
NOC,269.67293210210744,0.8469053340076492
DELL,264.84543341957425,0.8243256325845099
HCA,256.4894256620308,0.7852420050866019
JBL,255.95739212888705,0.7827535200314015
CMI,248.56254742863814,0.748165548830861
UHS,240.18822231490574,0.7089962454041115
ULTA,237.87274459988072,0.698166041421588
TGT,233.16220358105468,0.6761333870924665
DE,220.2046783625731,0.6155270420975496
URI,218.40103379333885,0.6070908397234029
ALL,215.6093332595376,0.5940331946236483
AIZ,214.92355188798552,0.5908255834714747
KR,207.3834140285581,0.5555580313183912
BBY,202.36116716213454,0.5320674325270446
ADM,196.4583677164234,0.5044582175256868
TSN,185.01440230114378,0.4509312589148656
TRV,181.51545225474544,0.43456558954078367
MTD,178.53213127733375,0.42061167647953834
MHK,176.40820135200005,0.4106774006337
DG,175.9389200031314,0.40848242691382275
KMX,171.28424259636984,0.38671106394152716
WBA,170.7785018121503,0.38434555818872407
GPC,166.07648378837135,0.36235276853819703
RL,165.54454654614173,0.3598647338653237
UAL,163.35598695297867,0.3496281651140634
SYY,160.50453878270415,0.33629106187645663
CDW,160.403409773082,0.33581805028336226
AMP,159.82510288065845,0.3331131304437953
